		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
101110000  229  232  222  257  258  261  222  258  9.279898 0.319237 SUCCESS  92
101110100  260  245  247  268  259  281  237  274 14.215619 0.076316 SUCCESS  93
101111000  204  254  234  230  247  222  246  259 11.575114 0.171192 SUCCESS  94
101111100  243  227  264  245  246  280  234  226 10.218320 0.250036 SUCCESS  95
110000000  273  241  252  248  251  246  239  251  4.426791 0.816712 SUCCESS  96
110000010  215  219  247  244  251  250  243  231  7.385047 0.495715 SUCCESS  97
110000100  237  252  233  236  238  270  231  256  5.604586 0.691427 SUCCESS  98
110001000  227  238  245  252  238  209  249  255  7.655134 0.467861 SUCCESS  99
110001010  247  275  227  235  282  232  243  229 13.343924 0.100551 SUCCESS 100
110010000  244  243  228  240  279  248  268  243  8.815982 0.358057 SUCCESS 101
110010010  262  265  264  263  219  237  249  250  9.519269 0.300399 SUCCESS 102
110010100  232  249  239  236  228  254  236  222  4.982854 0.759407 SUCCESS 103
110011000  244  233  264  241  253  257  223  250  5.312255 0.723740 SUCCESS 104
110011010  247  257  240  243  236  240  244  249  1.267294 0.995931 SUCCESS 105
110100000  234  258  257  250  225  271  258  256  8.121168 0.421725 SUCCESS 106
110100010  263  210  237  240  247  250  244  254  7.324674 0.502042 SUCCESS 107
110100100  262  250  246  257  241  258  238  218  6.124637 0.633273 SUCCESS 108
110101000  240  245  226  275  240  239  225  235  7.591584 0.474346 SUCCESS 109
110101010  233  237  254  262  254  242  267  229  6.124637 0.633273 SUCCESS 110
110101100  269  220  231  246  241  219  231  225 10.827342 0.211675 SUCCESS 111
110110000  253  235  234  278  261  280  229  236 13.890454 0.084666 SUCCESS 112
110110010  263  267  247  210  226  233  272  234 14.337423 0.073384 SUCCESS 113
110110100  279  222  265  246  218  275  267  253 18.568798 0.017344 SUCCESS 114
110111000  259  262  232  261  255  270  214  249 11.403529 0.179866 SUCCESS 115
110111010  253  256  249  256  236  266  238  252  4.357945 0.823471 SUCCESS 116
110111100  233  268  229  230  243  234  235  259  6.483695 0.593217 SUCCESS 117
111000000  264  245  234  269  245  257  251  259  6.575843 0.583008 SUCCESS 118
111000010  216  246  233  239  228  246  229  249  6.188187 0.626161 SUCCESS 119
111000100  203  224  235  239  222  221  232  251 14.507949 0.069449 SUCCESS 120
111000110  231  249  240  247  220  243  242  252  3.690670 0.883899 SUCCESS 121
111001000  245  265  222  244  259  237  245  267  7.296077 0.505051 SUCCESS 122
111001010  219  234  248  228  233  242  262  223  8.061855 0.427451 SUCCESS 123
111001100  255  228  236  256  247  274  230  235  7.494141 0.484373 SUCCESS 124
111010000  252  258  253  250  265  226  256  266  7.421058 0.491958 SUCCESS 125
111010010  245  271  260  251  255  243  246  218  7.744104 0.458858 SUCCESS 126
111010100  250  259  256  253  219  241  229  233  6.224199 0.622134 SUCCESS 127
111010110  275  219  217  228  255  233  222  215 17.625080 0.024220 SUCCESS 128
111011000  262  255  223  248  252  233  227  243  5.843958 0.664706 SUCCESS 129
111011010  259  252  271  250  236  233  253  249  5.644834 0.686946 SUCCESS 130
111011100  235  242  238  250  266  236  241  246  3.040341 0.931800 SUCCESS 131
111100000  247  237  247  248  237  253  254  255  1.811706 0.986250 SUCCESS 132
111100010  191  228  230  248  250  236  255  244 14.894545 0.061229 SUCCESS 133
111100100  245  283  212  245  239  229  249  243 11.968065 0.152634 SUCCESS 134
111100110  260  235  229  259  225  252  219  260  8.881651 0.352378 SUCCESS 135
111101000  265  246  253  243  247  213  258  250  7.301372 0.504493 SUCCESS 136
111101010  272  246  256  247  244  233  239  216  7.926281 0.440704 SUCCESS 137
111101100  256  260  238  245  239  242  227  236  3.479895 0.900744 SUCCESS 138
111101110  240  229  237  258  244  261  224  267  7.211343 0.514012 SUCCESS 139
111110000  255  237  228  246  239  273  247  245  5.514557 0.701427 SUCCESS 140
111110010  234  241  237  240  264  250  261  239  3.900385 0.865997 SUCCESS 141
111110100  268  237  247  231  262  231  267  238  7.854258 0.447835 SUCCESS 142
111110110  269  235  262  249  247  237  255  238  5.338735 0.720834 SUCCESS 143
111111000  222  252  206  236  223  248  247  243 10.769087 0.215129 SUCCESS 144
111111010  249  237  273  208  249  256  260  215 14.736729 0.064471 SUCCESS 145
111111100  222  258  232  243  235  264  262  260  7.965471 0.436850 SUCCESS 146
111111110  235  280  245  229  262  256  249  263 10.339065 0.242030 SUCCESS 147

